name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
1898,1,2,1,0,0,0,1,0,117760,43520,0,5088,4194304,4,16,176128,4096,512,0,2,2,0.11890197597050207,7.071027329306299,5,1342735335,0,0,224,270,0,0
1899,1,4,0,1,0,0,1,0,5632,373760,0,5472,4194304,4,16,888832,4096,512,1,0,1,4.07067528068449,7.910617512750899,4,0,0,0,224,271,0,0
1900,1,3,1,1,0,0,1,0,160256,9728,0,4096,4194304,5,16,229376,4096,512,1,5,0,0.43710972513537405,7.904785131810395,9,1301306542,0,0,224,258,0,151
1901,1,4,0,1,0,0,1,0,8704,433152,0,6156,4194304,4,16,819200,4096,512,1,0,0,0.08952421866257136,7.618797026900124,4,1305462840,0,0,224,271,0,0
1902,1,5,0,1,0,0,1,0,28672,430080,245760,7014,4259840,4,16,995328,4096,4096,1,0,0,4.224082501265148,7.847411882892001,4,1335210826,0,0,224,271,0,0
1903,1,5,1,1,0,0,1,0,95232,15360,0,4640,4194304,4,16,122880,4096,512,1,1,0,2.5947410426237947,7.695473059460374,5,1332846060,0,0,224,270,0,451
1904,1,4,0,1,0,0,1,0,28672,409600,4096,6539,4259840,4,16,819200,4096,4096,1,1,1,3.9837350453792273,7.823283977460251,5,1335725530,0,0,224,271,0,0
1905,1,3,0,1,0,0,1,0,61440,393216,0,7008,4194304,4,16,823296,4096,4096,1,0,0,6.0550383044511955,7.969562276585353,4,1345643715,0,0,224,271,0,0
1906,1,2,0,1,0,0,1,0,164864,12288,0,142165,4194304,5,16,188416,4096,512,1,0,0,3.4802075378080133,7.890908987422639,4,1307786444,0,0,224,258,0,174
1907,1,3,0,1,0,0,1,0,20480,368640,0,6443,4194304,4,16,782336,4096,4096,1,0,0,1.9679716335141086,7.972688730848995,4,1342004556,0,0,224,271,0,0
1908,1,2,0,1,0,0,1,0,12288,389120,0,5560,4194304,4,16,823296,4096,4096,1,0,0,3.4329363382032754,7.921564961808933,4,1343201631,0,0,224,271,0,0
1909,1,4,0,1,0,0,1,0,5632,16896,0,789428,4259840,4,16,819200,4096,512,0,0,0,0.40554835374125364,6.6450709768479514,4,1319571264,0,0,224,271,0,0
1910,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.0844585057859035,9,1335139257,0,0,224,270,0,301
1911,1,3,1,1,0,0,1,0,145408,46592,0,5248,4194304,4,16,217088,4096,512,0,5,5,0.12943919267108936,6.04998018284757,8,1342266000,0,0,224,270,0,0
1912,1,4,0,1,0,1,1,0,45056,393216,0,5968,4194304,4,16,823296,4096,4096,1,0,0,3.9708355720914676,7.731584283972061,4,1344692537,0,0,224,271,0,0
1913,1,3,0,1,0,0,1,0,36864,389120,0,5664,4194304,4,16,823296,4096,4096,1,0,0,0.7085729704582912,7.903589035453259,4,1343891857,0,0,224,271,0,0
1914,1,4,1,1,0,0,1,0,15360,111104,0,6000,4194304,4,16,147456,4096,512,0,3,3,2.617643850195868,7.282020184467892,7,1337992767,0,0,224,270,0,0
1915,1,1,0,0,0,0,0,0,17408,2048,0,25486,4194304,6,16,49152,8192,512,0,0,0,0.08153941234324169,5.539601001896584,3,1445876387,0,0,224,258,0,0
1916,1,2,0,0,0,0,1,0,16384,385024,0,6439,4194304,4,16,782336,4096,4096,1,0,0,3.057376660167672,7.807458814343051,4,1340958314,0,0,224,271,0,0
1917,1,4,0,1,0,0,1,0,4608,367104,0,787604,4259840,4,16,1167360,4096,512,1,0,0,2.6984588839447534,7.987970329160166,4,1319571264,0,0,224,271,0,0
1918,1,4,1,1,0,0,1,0,92160,2048,0,4720,4194304,4,16,106496,4096,512,1,0,0,2.093858639482634,7.618401435771652,3,1333476071,0,0,224,270,0,2
1919,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.26507558644931534,7.988947333352425,6,1213804776,0,0,224,258,0,76
1920,1,2,0,1,0,0,1,0,142336,24576,0,112794,4194304,5,16,192512,4096,512,1,5,0,0.41684622993819864,7.970941624711565,9,1297596187,0,0,224,258,0,111
1921,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.6052381954354966,6.644047542284788,5,1333760257,0,0,224,8450,0,439
1922,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.083567227213519,9,1334985616,0,0,224,270,0,301
1923,1,4,0,1,0,0,1,0,20480,425984,249856,5577,4259840,4,16,987136,4096,4096,1,0,0,3.8910064187854547,7.859494459651152,4,1334948483,0,0,224,271,0,0
1924,1,5,0,1,0,0,1,0,28672,413696,237568,7380,4259840,4,16,987136,4096,4096,1,0,0,4.342423172243521,7.869840519335297,4,1335178283,0,0,224,271,0,0
1925,1,11,1,1,0,0,1,0,39424,97280,0,20799,4194304,5,16,159744,4096,512,1,0,0,5.035095770850417,7.976634648899908,4,1343811892,0,0,224,258,0,149
1926,1,5,1,1,0,0,1,0,113152,20992,0,110752,4194304,4,16,151552,4096,512,0,3,0,0.16032872589902852,6.998693228710635,7,1334706024,0,0,224,270,0,541
1927,1,3,0,1,0,0,1,0,12288,376832,0,5528,4194304,4,16,823296,4096,4096,1,0,0,5.963537775529711,7.922234235350083,4,1343676558,0,0,224,271,0,0
1928,1,4,0,1,0,0,1,0,20480,425984,249856,5577,4259840,4,16,987136,4096,4096,1,0,0,3.8910064187854547,7.862613582548487,4,1334948483,0,0,224,271,0,0
1929,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.083745799442874,9,1334952053,0,0,224,270,0,301
1930,1,4,1,1,0,0,1,0,112128,15872,0,109760,4194304,4,16,151552,4096,512,0,4,0,0.16032872589902852,7.078433287109821,8,1334900441,0,0,224,270,0,278
1931,1,3,1,0,0,0,1,0,2048,91648,0,4640,4194304,4,16,110592,4096,512,1,0,0,2.006387977875609,7.75622467062151,5,1332904847,0,0,224,270,0,2
1932,1,4,0,1,0,0,1,0,12288,393216,0,6248,4194304,4,16,782336,4096,4096,1,0,0,4.642197463520163,7.810536275600646,4,1341428367,0,0,224,271,0,0
1933,1,7,1,1,0,0,1,1,231936,537088,7680,5376,4194304,5,16,565248,4096,512,0,3,1,0.2044881574398449,6.333671618405661,9,552096,0,0,240,559,0,0
1934,1,2,1,0,0,0,1,0,102912,5632,0,110272,4194304,4,16,122880,4096,512,0,0,0,1.6649936702546246,7.1332267320174,4,1335535282,0,0,224,270,0,2
1935,1,5,0,1,0,0,1,1,24576,420539,397312,6469,4259840,4,16,856064,4096,4096,1,0,0,2.6404553221085836,7.637137667563602,4,1333049649,0,0,224,271,0,0
1936,1,3,0,1,0,0,1,0,12288,397312,0,5576,4194304,4,16,823296,4096,4096,1,0,0,4.979604545820846,7.976650981411175,4,1343041823,0,0,224,271,0,0
1937,1,9,1,1,0,0,1,0,99840,50688,0,5120,4194304,4,16,180224,4096,512,1,6,6,4.243566833324523,7.519678912325206,10,1333352507,0,0,224,270,0,1200
1938,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5211152822840441,6.643807595934541,5,1333755894,0,0,224,8450,0,0
1939,1,3,0,0,0,0,1,0,93184,15360,4096,4096,4194304,4,16,126976,4096,512,0,1,2,4.290335739456838,6.3826816004432265,5,123676,0,0,224,783,0,0
1940,1,6,1,0,0,0,1,0,8704,27648,0,9441,4194304,5,16,49152,4096,512,0,0,0,4.415599964165836,5.8329951346343965,4,1231903272,0,0,224,259,0,0
1941,1,7,1,1,1,0,1,0,143360,61440,0,78314,1694498816,4,16,225280,4096,4096,0,0,0,2.6083046759428417,6.664905465728143,5,1334845516,0,0,224,8450,0,423
1942,1,2,0,1,0,0,1,0,12288,389120,0,5560,4194304,4,16,823296,4096,4096,1,0,0,3.4635927469626187,7.921551289885075,4,1343329266,0,0,224,271,0,0
1943,1,4,0,1,0,0,1,0,36864,389120,0,5728,4194304,4,16,823296,4096,4096,1,0,0,0.709661352287452,7.905218749892729,4,1343849227,0,0,224,271,0,0
1944,1,3,0,1,0,0,1,0,12288,393216,0,6260,4194304,4,16,827392,4096,4096,1,0,0,4.979011210297025,7.984936174690305,4,1342552538,0,0,224,271,0,0
1945,1,2,0,1,0,0,1,0,77312,91648,0,4096,4194304,5,16,245760,4096,512,1,2,0,0.37387747993819864,7.8804492677598414,6,1307674046,0,0,224,258,0,115
1946,1,6,1,1,0,0,1,1,94208,298478,401408,76383,4259840,4,16,815104,4096,4096,1,0,0,4.074325254803732,7.772619295086246,4,1332407685,0,0,224,271,0,0
1947,1,4,0,1,0,0,1,0,5632,387584,0,5116,4194304,4,16,823296,4096,512,1,0,1,4.079744129907271,7.852316994686785,4,1326871294,0,0,224,271,0,0
1948,1,3,1,0,0,0,1,0,2048,91648,0,4640,4194304,4,16,110592,4096,512,1,0,0,2.006387977875609,7.756207989144765,5,1332914474,0,0,224,270,0,2
1949,1,4,0,1,0,0,1,0,24576,403643,389120,6469,4259840,4,16,835584,4096,4096,1,0,0,2.1825047445903873,7.731389278141639,4,1332966487,0,0,224,271,0,0
1950,1,4,0,1,0,0,1,0,12288,397312,0,6355,4194304,4,16,827392,4096,4096,1,0,0,4.953342642287816,7.976677456525992,4,1342376926,0,0,224,271,0,0
1951,1,3,0,1,0,0,1,0,73728,60416,0,40468,4194304,5,16,147456,4096,512,0,1,0,0.06116285224115448,6.46083085698801,6,1341398218,0,0,224,258,0,918
